Drug,Demand_Forecast,Optimal_Stock_Level,Restocking_Strategy,shortage_units,risk_level
Metformin,9935,8196,Quarterly,1739,MEDIUM
Metformin,7104,5365,Monthly,1739,MEDIUM
Insulin,3709,1970,Quarterly,1739,MEDIUM
Atorvastatin,8055,6316,Monthly,1739,MEDIUM
Atorvastatin,9335,7596,Weekly,1739,MEDIUM
Lisinopril,9622,7884,Monthly,1738,MEDIUM
Insulin,7812,6074,Quarterly,1738,MEDIUM
Metformin,3239,1501,Weekly,1738,HIGH
Metformin,3272,1534,Weekly,1738,HIGH
Insulin,8194,6456,Weekly,1738,MEDIUM
Metformin,7870,6132,Weekly,1738,MEDIUM
Atorvastatin,7980,6242,Quarterly,1738,MEDIUM
Atorvastatin,7860,6122,Weekly,1738,MEDIUM
Atorvastatin,6728,4990,Weekly,1738,MEDIUM
Lisinopril,5432,3694,Monthly,1738,MEDIUM
Lisinopril,4358,2620,Monthly,1738,MEDIUM
Insulin,8197,6460,Quarterly,1737,MEDIUM
Atorvastatin,6520,4783,Weekly,1737,MEDIUM
Insulin,5150,3413,Monthly,1737,MEDIUM
Lisinopril,4708,2971,Quarterly,1737,MEDIUM
Metformin,7999,6262,Quarterly,1737,MEDIUM
Atorvastatin,9518,7781,Quarterly,1737,MEDIUM
Metformin,5351,3614,Monthly,1737,MEDIUM
Metformin,4785,3048,Monthly,1737,MEDIUM
Atorvastatin,7141,5404,Monthly,1737,MEDIUM
Metformin,3698,1961,Weekly,1737,MEDIUM
Lisinopril,7041,5304,Weekly,1737,MEDIUM
Metformin,8443,6706,Monthly,1737,MEDIUM
Lisinopril,7602,5865,Weekly,1737,MEDIUM
Lisinopril,4573,2836,Quarterly,1737,MEDIUM
Lisinopril,4117,2381,Weekly,1736,MEDIUM
Lisinopril,7153,5417,Weekly,1736,MEDIUM
Lisinopril,4684,2948,Quarterly,1736,MEDIUM
Atorvastatin,5129,3393,Weekly,1736,MEDIUM
Metformin,7634,5899,Quarterly,1735,MEDIUM
Insulin,9319,7584,Weekly,1735,MEDIUM
Lisinopril,5362,3627,Weekly,1735,MEDIUM
Atorvastatin,5260,3525,Monthly,1735,MEDIUM
Metformin,3386,1651,Quarterly,1735,HIGH
Metformin,3335,1600,Monthly,1735,HIGH
Atorvastatin,9468,7733,Quarterly,1735,MEDIUM
Metformin,5783,4048,Monthly,1735,MEDIUM
Insulin,3795,2060,Quarterly,1735,MEDIUM
Lisinopril,6123,4388,Monthly,1735,MEDIUM
Lisinopril,5947,4212,Monthly,1735,MEDIUM
Metformin,6015,4280,Monthly,1735,MEDIUM
Atorvastatin,6386,4652,Weekly,1734,MEDIUM
Atorvastatin,5708,3974,Weekly,1734,MEDIUM
Atorvastatin,9496,7762,Monthly,1734,MEDIUM
Insulin,5078,3344,Weekly,1734,MEDIUM
Atorvastatin,7969,6235,Quarterly,1734,MEDIUM
Atorvastatin,4056,2322,Weekly,1734,MEDIUM
Atorvastatin,7256,5523,Quarterly,1733,MEDIUM
Atorvastatin,7737,6004,Monthly,1733,MEDIUM
Metformin,6525,4792,Quarterly,1733,MEDIUM
Atorvastatin,6468,4735,Weekly,1733,MEDIUM
Atorvastatin,6387,4654,Quarterly,1733,MEDIUM
Insulin,3720,1987,Quarterly,1733,MEDIUM
Insulin,7130,5398,Weekly,1732,MEDIUM
Metformin,6104,4372,Monthly,1732,MEDIUM
Metformin,7512,5780,Weekly,1732,MEDIUM
Lisinopril,8015,6283,Quarterly,1732,MEDIUM
Insulin,6466,4734,Monthly,1732,MEDIUM
Atorvastatin,9641,7909,Weekly,1732,MEDIUM
Insulin,3604,1872,Monthly,1732,MEDIUM
Insulin,3646,1915,Monthly,1731,MEDIUM
Lisinopril,8777,7046,Weekly,1731,MEDIUM
Lisinopril,7780,6049,Quarterly,1731,MEDIUM
Metformin,3248,1517,Quarterly,1731,HIGH
Lisinopril,6294,4563,Quarterly,1731,MEDIUM
Atorvastatin,7628,5897,Weekly,1731,MEDIUM
Metformin,5809,4078,Quarterly,1731,MEDIUM
Insulin,4612,2881,Quarterly,1731,MEDIUM
Lisinopril,6288,4557,Monthly,1731,MEDIUM
Insulin,7185,5454,Quarterly,1731,MEDIUM
Atorvastatin,6973,5242,Monthly,1731,MEDIUM
Atorvastatin,9720,7990,Monthly,1730,MEDIUM
Atorvastatin,7671,5941,Quarterly,1730,MEDIUM
Insulin,9481,7751,Quarterly,1730,MEDIUM
Insulin,6181,4451,Weekly,1730,MEDIUM
Insulin,7139,5409,Quarterly,1730,MEDIUM
Insulin,6030,4300,Monthly,1730,MEDIUM
Insulin,9833,8103,Weekly,1730,MEDIUM
Atorvastatin,5459,3729,Monthly,1730,MEDIUM
Metformin,4095,2366,Weekly,1729,MEDIUM
Metformin,9980,8251,Weekly,1729,MEDIUM
Lisinopril,8423,6694,Quarterly,1729,MEDIUM
Lisinopril,9457,7728,Weekly,1729,MEDIUM
Lisinopril,4462,2733,Quarterly,1729,MEDIUM
Insulin,6498,4769,Quarterly,1729,MEDIUM
Metformin,9305,7576,Monthly,1729,MEDIUM
Atorvastatin,4866,3137,Quarterly,1729,MEDIUM
Atorvastatin,6252,4523,Quarterly,1729,MEDIUM
Metformin,6147,4418,Weekly,1729,MEDIUM
Atorvastatin,6086,4358,Weekly,1728,MEDIUM
Atorvastatin,4313,2585,Weekly,1728,MEDIUM
Metformin,3613,1885,Quarterly,1728,MEDIUM
Insulin,9858,8130,Monthly,1728,MEDIUM
Insulin,4646,2918,Weekly,1728,MEDIUM
Insulin,6964,5236,Monthly,1728,MEDIUM
Insulin,9223,7495,Weekly,1728,MEDIUM
Lisinopril,8860,7132,Monthly,1728,MEDIUM
Insulin,6743,5015,Quarterly,1728,MEDIUM
Insulin,8137,6409,Weekly,1728,MEDIUM
Insulin,5377,3649,Quarterly,1728,MEDIUM
Insulin,4597,2869,Weekly,1728,MEDIUM
Lisinopril,6579,4852,Monthly,1727,MEDIUM
Atorvastatin,9313,7586,Weekly,1727,MEDIUM
Insulin,7926,6199,Weekly,1727,MEDIUM
Atorvastatin,8569,6842,Quarterly,1727,MEDIUM
Lisinopril,4809,3082,Weekly,1727,MEDIUM
Insulin,8339,6612,Monthly,1727,MEDIUM
Insulin,8638,6912,Weekly,1726,MEDIUM
Lisinopril,7882,6156,Quarterly,1726,MEDIUM
Metformin,5358,3632,Quarterly,1726,MEDIUM
Insulin,5698,3972,Monthly,1726,MEDIUM
Metformin,5745,4019,Monthly,1726,MEDIUM
Insulin,4032,2306,Quarterly,1726,MEDIUM
Atorvastatin,9451,7725,Quarterly,1726,MEDIUM
Lisinopril,6394,4668,Quarterly,1726,MEDIUM
Insulin,5065,3340,Quarterly,1725,MEDIUM
Metformin,7104,5379,Monthly,1725,MEDIUM
Metformin,5333,3608,Weekly,1725,MEDIUM
Metformin,9176,7451,Monthly,1725,MEDIUM
Atorvastatin,5400,3675,Quarterly,1725,MEDIUM
Insulin,4275,2550,Quarterly,1725,MEDIUM
Metformin,7430,5705,Quarterly,1725,MEDIUM
Metformin,4080,2356,Quarterly,1724,MEDIUM
Atorvastatin,4425,2701,Monthly,1724,MEDIUM
Metformin,6543,4819,Quarterly,1724,MEDIUM
Insulin,6976,5252,Weekly,1724,MEDIUM
Lisinopril,6067,4343,Weekly,1724,MEDIUM
Atorvastatin,7613,5889,Monthly,1724,MEDIUM
Metformin,6413,4689,Quarterly,1724,MEDIUM
Metformin,5180,3456,Monthly,1724,MEDIUM
Insulin,8641,6917,Monthly,1724,MEDIUM
Metformin,4859,3135,Weekly,1724,MEDIUM
Lisinopril,8289,6566,Quarterly,1723,MEDIUM
Insulin,5287,3564,Quarterly,1723,MEDIUM
Metformin,4528,2805,Weekly,1723,MEDIUM
Atorvastatin,4417,2694,Quarterly,1723,MEDIUM
Lisinopril,7318,5596,Quarterly,1722,MEDIUM
Lisinopril,7521,5799,Monthly,1722,MEDIUM
Insulin,7189,5467,Quarterly,1722,MEDIUM
Metformin,3445,1723,Weekly,1722,MEDIUM
Insulin,7934,6212,Weekly,1722,MEDIUM
Atorvastatin,9822,8101,Weekly,1721,MEDIUM
Lisinopril,9990,8269,Monthly,1721,MEDIUM
Metformin,5841,4120,Monthly,1721,MEDIUM
Insulin,9718,7997,Quarterly,1721,MEDIUM
Atorvastatin,7135,5414,Quarterly,1721,MEDIUM
Metformin,5958,4237,Monthly,1721,MEDIUM
Atorvastatin,4917,3196,Monthly,1721,MEDIUM
Metformin,5186,3465,Quarterly,1721,MEDIUM
Metformin,7535,5814,Weekly,1721,MEDIUM
Lisinopril,7392,5671,Weekly,1721,MEDIUM
Lisinopril,3967,2246,Quarterly,1721,MEDIUM
Insulin,5264,3543,Monthly,1721,MEDIUM
Lisinopril,9646,7926,Weekly,1720,MEDIUM
Insulin,9355,7635,Monthly,1720,MEDIUM
Metformin,8335,6615,Monthly,1720,MEDIUM
Atorvastatin,9610,7890,Weekly,1720,MEDIUM
Lisinopril,5101,3381,Weekly,1720,MEDIUM
Insulin,9387,7667,Monthly,1720,MEDIUM
Insulin,9497,7777,Quarterly,1720,MEDIUM
Atorvastatin,8048,6329,Quarterly,1719,MEDIUM
Lisinopril,5180,3461,Weekly,1719,MEDIUM
Lisinopril,5937,4218,Monthly,1719,MEDIUM
Insulin,8192,6473,Quarterly,1719,MEDIUM
Insulin,8993,7274,Quarterly,1719,MEDIUM
Lisinopril,3399,1680,Monthly,1719,HIGH
Insulin,8164,6445,Weekly,1719,MEDIUM
Insulin,4455,2736,Weekly,1719,MEDIUM
Lisinopril,4612,2894,Quarterly,1718,MEDIUM
Metformin,7145,5427,Weekly,1718,MEDIUM
Lisinopril,6966,5248,Quarterly,1718,MEDIUM
Insulin,6892,5174,Weekly,1718,MEDIUM
Insulin,7246,5528,Weekly,1718,MEDIUM
Atorvastatin,4062,2344,Weekly,1718,MEDIUM
Metformin,4642,2924,Monthly,1718,MEDIUM
Metformin,8295,6577,Monthly,1718,MEDIUM
Insulin,3510,1792,Quarterly,1718,MEDIUM
Insulin,5554,3836,Quarterly,1718,MEDIUM
Atorvastatin,7511,5794,Weekly,1717,MEDIUM
Atorvastatin,8809,7092,Quarterly,1717,MEDIUM
Metformin,9113,7396,Monthly,1717,MEDIUM
Metformin,8258,6541,Quarterly,1717,MEDIUM
Metformin,8738,7021,Monthly,1717,MEDIUM
Metformin,7650,5934,Monthly,1716,MEDIUM
Lisinopril,5691,3975,Monthly,1716,MEDIUM
Metformin,8094,6378,Quarterly,1716,MEDIUM
Metformin,4979,3263,Quarterly,1716,MEDIUM
Lisinopril,4975,3259,Quarterly,1716,MEDIUM
Metformin,8789,7073,Weekly,1716,MEDIUM
Metformin,6079,4363,Quarterly,1716,MEDIUM
Lisinopril,6689,4973,Quarterly,1716,MEDIUM
Insulin,7670,5954,Quarterly,1716,MEDIUM
Metformin,4795,3079,Monthly,1716,MEDIUM
Lisinopril,8216,6501,Quarterly,1715,MEDIUM
Insulin,4780,3065,Weekly,1715,MEDIUM
Metformin,6206,4491,Weekly,1715,MEDIUM
Lisinopril,4179,2464,Weekly,1715,MEDIUM
Metformin,5558,3843,Monthly,1715,MEDIUM
Insulin,5806,4092,Weekly,1714,MEDIUM
Lisinopril,3915,2201,Monthly,1714,MEDIUM
Metformin,9559,7845,Quarterly,1714,MEDIUM
Atorvastatin,6264,4550,Monthly,1714,MEDIUM
Lisinopril,6036,4322,Weekly,1714,MEDIUM
Atorvastatin,6788,5074,Quarterly,1714,MEDIUM
Metformin,4072,2358,Quarterly,1714,MEDIUM
Insulin,9023,7310,Quarterly,1713,MEDIUM
Metformin,8328,6615,Quarterly,1713,MEDIUM
Insulin,4578,2865,Monthly,1713,MEDIUM
Metformin,9575,7862,Weekly,1713,MEDIUM
Metformin,4634,2921,Weekly,1713,MEDIUM
Atorvastatin,5558,3845,Monthly,1713,MEDIUM
Metformin,9220,7507,Monthly,1713,MEDIUM
Atorvastatin,3419,1706,Quarterly,1713,HIGH
Insulin,7147,5434,Quarterly,1713,MEDIUM
Metformin,7162,5450,Quarterly,1712,MEDIUM
Lisinopril,6377,4665,Monthly,1712,MEDIUM
Metformin,5671,3959,Weekly,1712,MEDIUM
Metformin,3481,1769,Monthly,1712,MEDIUM
Metformin,5549,3837,Monthly,1712,MEDIUM
Insulin,9833,8121,Quarterly,1712,MEDIUM
Insulin,4841,3129,Quarterly,1712,MEDIUM
Atorvastatin,9217,7506,Quarterly,1711,MEDIUM
Atorvastatin,4335,2624,Monthly,1711,MEDIUM
Insulin,7207,5496,Quarterly,1711,MEDIUM
Lisinopril,8309,6598,Weekly,1711,MEDIUM
Insulin,5085,3374,Monthly,1711,MEDIUM
Atorvastatin,7659,5948,Monthly,1711,MEDIUM
Atorvastatin,8806,7095,Quarterly,1711,MEDIUM
Atorvastatin,6255,4545,Weekly,1710,MEDIUM
Atorvastatin,7424,5714,Monthly,1710,MEDIUM
Insulin,7213,5503,Quarterly,1710,MEDIUM
Lisinopril,9554,7844,Quarterly,1710,MEDIUM
Metformin,6437,4727,Monthly,1710,MEDIUM
Lisinopril,4263,2553,Weekly,1710,MEDIUM
Insulin,9454,7744,Monthly,1710,MEDIUM
Atorvastatin,4465,2755,Weekly,1710,MEDIUM
Insulin,5061,3352,Monthly,1709,MEDIUM
Lisinopril,9366,7657,Weekly,1709,MEDIUM
Atorvastatin,6113,4404,Weekly,1709,MEDIUM
Lisinopril,9336,7627,Monthly,1709,MEDIUM
Lisinopril,4393,2684,Weekly,1709,MEDIUM
Lisinopril,9668,7959,Quarterly,1709,MEDIUM
Insulin,9431,7722,Monthly,1709,MEDIUM
Insulin,9840,8131,Quarterly,1709,MEDIUM
Lisinopril,3903,2194,Weekly,1709,MEDIUM
Insulin,5134,3426,Weekly,1708,MEDIUM
Lisinopril,7712,6004,Monthly,1708,MEDIUM
Lisinopril,4665,2957,Monthly,1708,MEDIUM
Atorvastatin,4609,2901,Monthly,1708,MEDIUM
Metformin,7693,5985,Weekly,1708,MEDIUM
Metformin,4715,3007,Weekly,1708,MEDIUM
Atorvastatin,3367,1659,Monthly,1708,HIGH
Insulin,6884,5176,Monthly,1708,MEDIUM
Atorvastatin,5903,4195,Monthly,1708,MEDIUM
Atorvastatin,8567,6859,Quarterly,1708,MEDIUM
Atorvastatin,3432,1724,Quarterly,1708,MEDIUM
Atorvastatin,5952,4245,Monthly,1707,MEDIUM
Metformin,8010,6303,Weekly,1707,MEDIUM
Insulin,7365,5659,Weekly,1706,MEDIUM
Metformin,8319,6613,Weekly,1706,MEDIUM
Insulin,5191,3485,Weekly,1706,MEDIUM
Insulin,4772,3066,Weekly,1706,MEDIUM
Lisinopril,9924,8218,Quarterly,1706,MEDIUM
Metformin,4224,2519,Monthly,1705,MEDIUM
Lisinopril,6280,4575,Monthly,1705,MEDIUM
Lisinopril,9692,7987,Monthly,1705,MEDIUM
Metformin,7642,5937,Monthly,1705,MEDIUM
Atorvastatin,7512,5807,Quarterly,1705,MEDIUM
Insulin,9558,7853,Quarterly,1705,MEDIUM
Atorvastatin,3697,1992,Monthly,1705,MEDIUM
Lisinopril,4305,2601,Monthly,1704,MEDIUM
Insulin,3307,1603,Monthly,1704,HIGH
Lisinopril,5511,3807,Weekly,1704,MEDIUM
Insulin,3989,2285,Weekly,1704,MEDIUM
Lisinopril,9429,7725,Weekly,1704,MEDIUM
Metformin,3897,2193,Quarterly,1704,MEDIUM
Insulin,8717,7013,Weekly,1704,MEDIUM
Atorvastatin,5093,3389,Quarterly,1704,MEDIUM
Atorvastatin,6506,4802,Quarterly,1704,MEDIUM
Atorvastatin,6553,4850,Weekly,1703,MEDIUM
Atorvastatin,7389,5686,Monthly,1703,MEDIUM
Metformin,8271,6568,Quarterly,1703,MEDIUM
Lisinopril,5337,3634,Quarterly,1703,MEDIUM
Atorvastatin,9594,7891,Monthly,1703,MEDIUM
Metformin,4305,2602,Monthly,1703,MEDIUM
Metformin,9089,7386,Weekly,1703,MEDIUM
Lisinopril,7044,5341,Quarterly,1703,MEDIUM
Atorvastatin,6401,4699,Quarterly,1702,MEDIUM
Lisinopril,9553,7851,Weekly,1702,MEDIUM
Insulin,8811,7109,Weekly,1702,MEDIUM
Insulin,4490,2788,Weekly,1702,MEDIUM
Atorvastatin,9337,7635,Weekly,1702,MEDIUM
Insulin,6746,5045,Quarterly,1701,MEDIUM
Lisinopril,9045,7344,Quarterly,1701,MEDIUM
Lisinopril,9633,7932,Weekly,1701,MEDIUM
Lisinopril,5647,3946,Monthly,1701,MEDIUM
Lisinopril,9896,8195,Monthly,1701,MEDIUM
Insulin,5187,3486,Monthly,1701,MEDIUM
Metformin,7641,5940,Quarterly,1701,MEDIUM
Atorvastatin,7453,5752,Quarterly,1701,MEDIUM
Atorvastatin,7450,5749,Monthly,1701,MEDIUM
Lisinopril,4978,3278,Monthly,1700,MEDIUM
Metformin,9073,7373,Quarterly,1700,MEDIUM
Insulin,6697,4997,Quarterly,1700,MEDIUM
Metformin,5615,3915,Quarterly,1700,MEDIUM
Atorvastatin,4632,2932,Quarterly,1700,MEDIUM
Metformin,5599,3899,Monthly,1700,MEDIUM
Lisinopril,7912,6213,Monthly,1699,MEDIUM
Lisinopril,7474,5775,Weekly,1699,MEDIUM
Insulin,9652,7953,Quarterly,1699,MEDIUM
Metformin,4582,2883,Monthly,1699,MEDIUM
Metformin,7058,5359,Monthly,1699,MEDIUM
Atorvastatin,9581,7882,Monthly,1699,MEDIUM
Atorvastatin,6939,5240,Weekly,1699,MEDIUM
Insulin,6203,4504,Weekly,1699,MEDIUM
Metformin,3859,2160,Monthly,1699,MEDIUM
Atorvastatin,9498,7800,Monthly,1698,MEDIUM
Metformin,7734,6036,Quarterly,1698,MEDIUM
Lisinopril,4219,2521,Monthly,1698,MEDIUM
Metformin,6668,4970,Weekly,1698,MEDIUM
Lisinopril,9788,8090,Monthly,1698,MEDIUM
Insulin,3361,1664,Monthly,1697,HIGH
Metformin,7982,6285,Monthly,1697,MEDIUM
Lisinopril,9373,7676,Quarterly,1697,MEDIUM
Atorvastatin,7900,6203,Quarterly,1697,MEDIUM
Lisinopril,5310,3613,Quarterly,1697,MEDIUM
Atorvastatin,9954,8257,Monthly,1697,MEDIUM
Lisinopril,3592,1895,Quarterly,1697,MEDIUM
Atorvastatin,8061,6364,Weekly,1697,MEDIUM
Metformin,5715,4019,Weekly,1696,MEDIUM
Metformin,9775,8079,Weekly,1696,MEDIUM
Atorvastatin,3419,1723,Monthly,1696,MEDIUM
Metformin,5500,3804,Monthly,1696,MEDIUM
Atorvastatin,6685,4989,Weekly,1696,MEDIUM
Atorvastatin,9170,7474,Monthly,1696,MEDIUM
Lisinopril,7738,6043,Weekly,1695,MEDIUM
Atorvastatin,6117,4422,Weekly,1695,MEDIUM
Atorvastatin,3887,2193,Quarterly,1694,MEDIUM
Metformin,6489,4795,Monthly,1694,MEDIUM
Insulin,9723,8029,Weekly,1694,MEDIUM
Metformin,6085,4391,Monthly,1694,MEDIUM
Insulin,9133,7439,Monthly,1694,MEDIUM
Atorvastatin,5303,3609,Quarterly,1694,MEDIUM
Atorvastatin,3211,1518,Quarterly,1693,HIGH
Metformin,3791,2098,Monthly,1693,MEDIUM
Insulin,4405,2712,Weekly,1693,MEDIUM
Atorvastatin,3590,1898,Monthly,1692,MEDIUM
Atorvastatin,5410,3718,Monthly,1692,MEDIUM
Lisinopril,4000,2308,Weekly,1692,MEDIUM
Metformin,3671,1979,Weekly,1692,MEDIUM
Lisinopril,3335,1643,Weekly,1692,HIGH
Insulin,9962,8270,Monthly,1692,MEDIUM
Insulin,4562,2871,Monthly,1691,MEDIUM
Atorvastatin,9136,7445,Monthly,1691,MEDIUM
Insulin,7299,5608,Quarterly,1691,MEDIUM
Atorvastatin,5630,3939,Weekly,1691,MEDIUM
Insulin,5586,3895,Monthly,1691,MEDIUM
Lisinopril,3476,1785,Weekly,1691,MEDIUM
Insulin,7992,6301,Weekly,1691,MEDIUM
Atorvastatin,8894,7204,Monthly,1690,MEDIUM
Atorvastatin,5121,3431,Monthly,1690,MEDIUM
Atorvastatin,4999,3309,Weekly,1690,MEDIUM
Atorvastatin,4650,2960,Quarterly,1690,MEDIUM
Atorvastatin,8135,6445,Monthly,1690,MEDIUM
Atorvastatin,8578,6888,Weekly,1690,MEDIUM
Atorvastatin,4851,3161,Monthly,1690,MEDIUM
Lisinopril,4526,2836,Weekly,1690,MEDIUM
Lisinopril,6227,4537,Monthly,1690,MEDIUM
Atorvastatin,7460,5771,Monthly,1689,MEDIUM
Metformin,9400,7711,Monthly,1689,MEDIUM
Insulin,6579,4890,Quarterly,1689,MEDIUM
Atorvastatin,8584,6895,Weekly,1689,MEDIUM
Insulin,4317,2628,Weekly,1689,MEDIUM
Lisinopril,3545,1856,Monthly,1689,MEDIUM
Atorvastatin,8813,7124,Monthly,1689,MEDIUM
Metformin,4032,2343,Quarterly,1689,MEDIUM
Lisinopril,3875,2186,Quarterly,1689,MEDIUM
Insulin,7697,6009,Monthly,1688,MEDIUM
Atorvastatin,8929,7241,Weekly,1688,MEDIUM
Lisinopril,8541,6853,Quarterly,1688,MEDIUM
Insulin,8234,6546,Weekly,1688,MEDIUM
Atorvastatin,5065,3377,Weekly,1688,MEDIUM
Insulin,3882,2195,Weekly,1687,MEDIUM
Metformin,5385,3698,Quarterly,1687,MEDIUM
Metformin,4521,2834,Quarterly,1687,MEDIUM
Atorvastatin,7004,5317,Weekly,1687,MEDIUM
Insulin,6579,4892,Weekly,1687,MEDIUM
Lisinopril,9132,7445,Quarterly,1687,MEDIUM
Atorvastatin,5130,3444,Monthly,1686,MEDIUM
Atorvastatin,9279,7593,Weekly,1686,MEDIUM
Insulin,9913,8227,Monthly,1686,MEDIUM
Insulin,8503,6817,Weekly,1686,MEDIUM
Metformin,8296,6610,Weekly,1686,MEDIUM
Lisinopril,9390,7704,Weekly,1686,MEDIUM
Metformin,6339,4653,Monthly,1686,MEDIUM
Insulin,5363,3677,Quarterly,1686,MEDIUM
Lisinopril,9828,8143,Weekly,1685,MEDIUM
Lisinopril,3354,1669,Quarterly,1685,HIGH
Lisinopril,4658,2974,Monthly,1684,MEDIUM
Atorvastatin,8616,6932,Quarterly,1684,MEDIUM
Atorvastatin,6732,5048,Quarterly,1684,MEDIUM
Atorvastatin,6982,5298,Monthly,1684,MEDIUM
Metformin,4133,2449,Monthly,1684,MEDIUM
Atorvastatin,8266,6582,Weekly,1684,MEDIUM
Atorvastatin,9357,7673,Weekly,1684,MEDIUM
Lisinopril,9310,7626,Weekly,1684,MEDIUM
Metformin,8647,6964,Quarterly,1683,MEDIUM
Atorvastatin,7054,5371,Monthly,1683,MEDIUM
Atorvastatin,5724,4041,Weekly,1683,MEDIUM
Lisinopril,3752,2069,Quarterly,1683,MEDIUM
Atorvastatin,4909,3226,Quarterly,1683,MEDIUM
Metformin,3524,1841,Quarterly,1683,MEDIUM
Insulin,5647,3964,Weekly,1683,MEDIUM
Lisinopril,6537,4854,Quarterly,1683,MEDIUM
Insulin,4161,2478,Quarterly,1683,MEDIUM
Metformin,6984,5301,Quarterly,1683,MEDIUM
Lisinopril,7285,5603,Weekly,1682,MEDIUM
Insulin,5186,3504,Quarterly,1682,MEDIUM
Atorvastatin,5281,3599,Monthly,1682,MEDIUM
Metformin,6672,4990,Weekly,1682,MEDIUM
Atorvastatin,8441,6759,Monthly,1682,MEDIUM
Atorvastatin,7096,5414,Quarterly,1682,MEDIUM
Metformin,6083,4401,Monthly,1682,MEDIUM
Atorvastatin,7138,5457,Weekly,1681,MEDIUM
Atorvastatin,4617,2936,Weekly,1681,MEDIUM
Insulin,3435,1754,Weekly,1681,MEDIUM
Metformin,4077,2396,Quarterly,1681,MEDIUM
Lisinopril,6859,5179,Weekly,1680,MEDIUM
Atorvastatin,8288,6608,Monthly,1680,MEDIUM
Atorvastatin,7903,6223,Monthly,1680,MEDIUM
Insulin,5643,3963,Weekly,1680,MEDIUM
Insulin,5314,3634,Quarterly,1680,MEDIUM
Insulin,6450,4770,Monthly,1680,MEDIUM
Atorvastatin,9831,8152,Monthly,1679,MEDIUM
Insulin,5994,4315,Monthly,1679,MEDIUM
Atorvastatin,7341,5662,Weekly,1679,MEDIUM
Insulin,7811,6132,Monthly,1679,MEDIUM
Insulin,9194,7515,Weekly,1679,MEDIUM
Lisinopril,5620,3941,Weekly,1679,MEDIUM
Lisinopril,8578,6900,Quarterly,1678,MEDIUM
Lisinopril,4911,3233,Monthly,1678,MEDIUM
Metformin,7484,5806,Monthly,1678,MEDIUM
Insulin,6281,4603,Weekly,1678,MEDIUM
Lisinopril,5513,3835,Quarterly,1678,MEDIUM
Metformin,3549,1871,Quarterly,1678,MEDIUM
Metformin,7931,6253,Monthly,1678,MEDIUM
Metformin,5982,4304,Quarterly,1678,MEDIUM
Atorvastatin,5966,4289,Quarterly,1677,MEDIUM
Insulin,7113,5436,Quarterly,1677,MEDIUM
Lisinopril,5187,3510,Weekly,1677,MEDIUM
Insulin,9270,7593,Monthly,1677,MEDIUM
Atorvastatin,5510,3833,Quarterly,1677,MEDIUM
Lisinopril,3237,1561,Monthly,1676,HIGH
Atorvastatin,7624,5948,Monthly,1676,MEDIUM
Atorvastatin,4057,2381,Quarterly,1676,MEDIUM
Lisinopril,4755,3079,Quarterly,1676,MEDIUM
Metformin,6940,5264,Quarterly,1676,MEDIUM
Atorvastatin,5726,4051,Monthly,1675,MEDIUM
Lisinopril,7448,5773,Quarterly,1675,MEDIUM
Atorvastatin,8693,7018,Monthly,1675,MEDIUM
Atorvastatin,6042,4367,Weekly,1675,MEDIUM
Atorvastatin,5869,4194,Weekly,1675,MEDIUM
Metformin,9715,8040,Monthly,1675,MEDIUM
Atorvastatin,9836,8162,Monthly,1674,MEDIUM
Lisinopril,8782,7109,Monthly,1673,MEDIUM
Atorvastatin,5446,3773,Quarterly,1673,MEDIUM
Metformin,9497,7824,Weekly,1673,MEDIUM
Metformin,3655,1982,Monthly,1673,MEDIUM
Lisinopril,4155,2482,Weekly,1673,MEDIUM
Insulin,4230,2558,Monthly,1672,MEDIUM
Metformin,8620,6948,Weekly,1672,MEDIUM
Atorvastatin,8691,7019,Quarterly,1672,MEDIUM
Atorvastatin,9413,7741,Quarterly,1672,MEDIUM
Metformin,9030,7358,Weekly,1672,MEDIUM
Insulin,5522,3850,Monthly,1672,MEDIUM
Atorvastatin,5479,3808,Quarterly,1671,MEDIUM
Lisinopril,7094,5423,Weekly,1671,MEDIUM
Lisinopril,9213,7542,Weekly,1671,MEDIUM
Atorvastatin,6390,4719,Weekly,1671,MEDIUM
Lisinopril,3482,1812,Weekly,1670,MEDIUM
Atorvastatin,7953,6283,Weekly,1670,MEDIUM
Insulin,3688,2018,Monthly,1670,MEDIUM
Metformin,8523,6853,Weekly,1670,MEDIUM
Metformin,8616,6946,Quarterly,1670,MEDIUM
Atorvastatin,7840,6170,Weekly,1670,MEDIUM
Lisinopril,3309,1640,Quarterly,1669,HIGH
Insulin,3704,2035,Weekly,1669,MEDIUM
Lisinopril,7966,6297,Quarterly,1669,MEDIUM
Atorvastatin,7541,5872,Weekly,1669,MEDIUM
Lisinopril,9874,8205,Monthly,1669,MEDIUM
Lisinopril,6816,5148,Weekly,1668,MEDIUM
Atorvastatin,7304,5636,Quarterly,1668,MEDIUM
Lisinopril,8461,6793,Quarterly,1668,MEDIUM
Lisinopril,7665,5997,Weekly,1668,MEDIUM
Insulin,6525,4857,Weekly,1668,MEDIUM
Lisinopril,6754,5086,Quarterly,1668,MEDIUM
Insulin,8212,6544,Quarterly,1668,MEDIUM
Atorvastatin,8314,6646,Monthly,1668,MEDIUM
Insulin,5770,4102,Monthly,1668,MEDIUM
Atorvastatin,3879,2211,Monthly,1668,MEDIUM
